#               time                E_H  E_UniformExchange            E_total                H_x                H_y                H_z                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
            6.35e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.26                890          4.064e-08 
             6.4e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.27                897          4.128e-08 
            6.45e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.29                904         4.1925e-08 
             6.5e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589496.3                911         4.2575e-08 
            6.55e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.31                918          4.323e-08 
             6.6e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.32                925          4.389e-08 
            6.65e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.33                932         4.4555e-08 
             6.7e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.34                939         4.5225e-08 
            6.75e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.35                946           4.59e-08 
             6.8e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.36                953          4.658e-08 
